"month","year","state","average_temp"
"01",1992,"alabama",47
"01",1992,"arizona",40.7
"01",1992,"arkansas",43
"01",1992,"california",43.6
"01",1992,"colorado",25.3
"01",1992,"connecticut",30.7
"01",1992,"delaware",38.4
"01",1992,"florida",59.2
"01",1992,"georgia",48.6
"01",1992,"idaho",25.9
"01",1992,"illinois",32.2
"01",1992,"indiana",32.4
"01",1992,"iowa",27.2
"01",1992,"kansas",36.4
"01",1992,"kentucky",38
"01",1992,"louisiana",51.5
"01",1992,"maine",16
"01",1992,"maryland",37.4
"01",1992,"massachusetts",28.8
"01",1992,"michigan",24.4
"01",1992,"minnesota",16.9
"01",1992,"mississippi",47.5
"01",1992,"missouri",36.4
"01",1992,"montana",27.5
"01",1992,"nebraska",31.5
"01",1992,"nevada",31.4
"01",1992,"new hampshire",20.8
"01",1992,"new jersey",35.2
"01",1992,"new mexico",33
"01",1992,"new york",24.8
"01",1992,"north carolina",43.8
"01",1992,"north dakota",20.3
"01",1992,"ohio",32
"01",1992,"oklahoma",41.6
"01",1992,"oregon",34.6
"01",1992,"pennsylvania",30.4
"01",1992,"rhode island",32
"01",1992,"south carolina",47.6
"01",1992,"south dakota",27.4
"01",1992,"tennessee",40.9
"01",1992,"texas",47.3
"01",1992,"utah",25.6
"01",1992,"vermont",18.8
"01",1992,"virginia",39.2
"01",1992,"washington",34.6
"01",1992,"west virginia",34.6
"01",1992,"wisconsin",20.6
"01",1992,"wyoming",22.4
"02",1992,"alabama",47.8
"02",1992,"arizona",43.4
"02",1992,"arkansas",44.7
"02",1992,"california",46.2
"02",1992,"colorado",28.3
"02",1992,"connecticut",29
"02",1992,"delaware",36.8
"02",1992,"florida",59
"02",1992,"georgia",49.2
"02",1992,"idaho",30.2
"02",1992,"illinois",34.1
"02",1992,"indiana",33.7
"02",1992,"iowa",29.6
"02",1992,"kansas",39
"02",1992,"kentucky",38.9
"02",1992,"louisiana",52
"02",1992,"maine",15.2
"02",1992,"maryland",36.4
"02",1992,"massachusetts",27.3
"02",1992,"michigan",24
"02",1992,"minnesota",19.8
"02",1992,"mississippi",48.2
"02",1992,"missouri",38.2
"02",1992,"montana",30.2
